Publication Number,B60K6/48,Y02T10/6221,B60K6/387,B60K6/547,B60K6/365,B60K6/405,B60K2006/4825,Y02T10/6252
FR3005900B1,1,1,1,0,0,1,1,1
FR3005903B1,1,1,1,0,0,1,1,1
FR3005904B1,1,1,1,0,0,1,1,1
FR3005902B1,1,1,1,0,0,1,1,1
FR3005906B1,1,1,1,0,0,1,1,1
FR3005905B1,1,1,1,0,0,1,1,1
WO2014049249A1,1,1,1,0,0,1,1,1
US7485061,1,1,1,0,0,1,0,0
EP1449701A1,1,1,1,0,0,1,0,0
US20060289209A1,1,1,1,0,0,1,0,0
US9653961,1,1,0,0,0,1,1,1
WO2015075365A3,1,1,0,0,0,1,1,1
US20190241057A1,1,1,0,0,0,1,1,1
US20070289833A1,1,1,1,0,0,1,0,0
US10179506,1,1,1,0,0,1,0,0
US9481234,1,1,0,0,0,1,1,1
US9636990,1,1,1,0,0,1,0,0
US6308794,1,1,1,0,0,1,0,0
WO2017057190A1,1,1,1,0,0,1,0,0
US8851216,1,1,1,0,0,1,0,0
JP4742198B2,1,1,1,0,0,1,0,0
US7661495,1,1,1,0,0,1,0,0
US9027726,1,1,1,0,0,1,0,0
DE10245855B4,1,1,1,0,0,1,0,0
US9446763,1,1,1,0,0,1,0,0
US20190226558A1,0,0,1,1,1,0,1,1
US20180215248A1,1,0,1,1,0,1,0,0
US8549959,1,1,1,1,0,1,0,0
WO2018086925A1,1,1,1,0,0,1,0,0
US6332257,1,1,1,0,0,1,0,0
EP2900506B1,1,1,1,0,0,1,0,0
US7489114,1,1,1,0,0,1,0,0
EP1541401B1,1,1,1,0,0,1,0,0
US8991576,1,1,1,0,0,1,0,0
US9539890,1,1,1,0,0,1,1,0
WO2018161990A1,1,1,1,0,0,1,1,0
US5833022,1,1,1,0,0,1,0,0
WO2015040283A1,1,1,1,0,0,1,0,0
US20180362020A1,1,0,1,1,0,0,1,1
US10077044,1,0,1,1,1,0,0,0
US9926686,1,0,1,1,1,0,0,0
US6638193,1,1,1,0,1,1,0,0
DE102005035327A1,1,1,0,1,0,1,0,0
US7950480,1,1,0,1,0,1,0,0
US8836187,1,1,0,1,0,1,0,0
US9702437,1,0,1,1,1,0,0,0
EP1864035B1,1,0,1,1,1,0,0,0
WO2019015714A1,1,0,1,1,0,0,1,0
CN109278528A,1,0,1,1,0,0,1,0
WO2017202419A1,1,1,1,1,0,0,1,1
DE102014112646A1,1,0,1,1,1,0,1,0
US10046753,1,0,1,1,0,0,1,0
WO2018210368A1,1,0,1,1,0,0,1,0
CN109278530A,1,0,1,1,0,0,1,0
WO2019115125A1,1,0,1,1,0,0,1,0
WO2019063226A1,1,0,1,1,0,0,1,0
US8636090,1,1,0,1,1,1,0,0
